exp_id,job_id,recipe,status,dataset,architecture,dimensionality,sampling_mode,k_input,g_shell,n_context_samples,n_preds,n_params,sec_per_epoch,sec_per_volume,peak_gpu_mem_mb,duration_s
paper_final_k16,drcnet_dbrain_ncontext_1_ablation,n_context_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,1,12,116002,0.05119013057814704,4.379887783527375,5694.45458984375,313.5323226451874
paper_final_k16,drcnet_dbrain_ncontext_3_ablation,n_context_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,3,12,116002,0.05155554016431173,8.271416453520457,5694.45458984375,547.1156725883484
paper_final_k16,drcnet_dbrain_ncontext_5_ablation,n_context_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,5,12,116002,0.05140920215182834,12.207149962584177,5694.45458984375,783.2439277172089
paper_final_k16,drcnet_dbrain_ncontext_12_ablation,n_context_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,12,12,116002,0.051424090729819405,26.010360097885133,5694.45458984375,1611.4925951957703
paper_final_k16,drcnet_dbrain_ncontext_24_ablation,n_context_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,24,12,116002,0.052140510744518705,49.703573775291446,5694.45458984375,3033.3943326473236
paper_final_k16,drcnet_dbrain_ncontext_48_ablation,n_context_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,48,12,116002,0.051382807228300305,96.74546440045039,5694.45458984375,5855.547532320023
paper_final_k16,drcnet_stanford_ncontext_1_ablation,n_context_sensitivity,success,stanford,drcnet,3d,rgs,16,150,1,10,116002,0.001920055283440484,0.8480032666524251,2556.77734375,171.93831062316895
paper_final_k16,drcnet_stanford_ncontext_3_ablation,n_context_sensitivity,success,stanford,drcnet,3d,rgs,16,150,3,10,116002,0.0018647286627027724,2.1916099246342977,2556.77734375,373.3303918838501
paper_final_k16,drcnet_stanford_ncontext_5_ablation,n_context_sensitivity,success,stanford,drcnet,3d,rgs,16,150,5,10,116002,0.0018847147623697917,3.546457093556722,2556.77734375,576.7828242778778
paper_final_k16,drcnet_stanford_ncontext_12_ablation,n_context_sensitivity,success,stanford,drcnet,3d,rgs,16,150,12,10,116002,0.0018994681040445964,8.266647578875224,2556.12109375,1284.7692186832428
paper_final_k16,drcnet_stanford_ncontext_24_ablation,n_context_sensitivity,success,stanford,drcnet,3d,rgs,16,150,24,10,116002,0.0019019895129733615,16.34056398709615,2556.12109375,2496.1457509994507
paper_final_k16,drcnet_stanford_ncontext_48_ablation,n_context_sensitivity,success,stanford,drcnet,3d,rgs,16,150,48,10,116002,0.001910674042171902,32.5098681084315,2556.12109375,4921.10910820961
paper_final_k16,restormer_dbrain_ncontext_1_ablation,n_context_sensitivity,success,dbrain,restormer,3d,rgs,16,60,1,12,177883,0.0489956107404497,10.10519771973292,2507.5908203125,657.4287006855011
paper_final_k16,restormer_dbrain_ncontext_3_ablation,n_context_sensitivity,success,dbrain,restormer,3d,rgs,16,60,3,12,177883,0.049123634232415093,25.514906307061512,2508.4111328125,1582.1199872493744
paper_final_k16,restormer_dbrain_ncontext_5_ablation,n_context_sensitivity,success,dbrain,restormer,3d,rgs,16,60,5,12,177883,0.05094810260666741,40.886265234152475,2508.4697265625,2505.098165035248
