dataset,architecture,status,n_context_samples,n_preds,sec_per_volume,sec_per_epoch,n_params,peak_gpu_mem_mb,psnr,psnr_roi,fa_mae,md_mae
stanford,drcnet,success,1,10,0.8480032666524251,0.001920055283440484,116002,2556.77734375,39.39378620184148,37.6685557632951,,
stanford,drcnet,success,3,10,2.1916099246342977,0.0018647286627027724,116002,2556.77734375,39.705449628707555,37.98030734508386,,
stanford,drcnet,success,5,10,3.546457093556722,0.0018847147623697917,116002,2556.77734375,39.72919299616187,38.00403937745997,,
stanford,drcnet,success,12,10,8.266647578875224,0.0018994681040445964,116002,2556.12109375,39.76345022986611,38.03829747545969,,
stanford,drcnet,success,24,10,16.34056398709615,0.0019019895129733615,116002,2556.12109375,39.77933648515052,38.05418054009424,,
stanford,drcnet,success,48,10,32.5098681084315,0.001910674042171902,116002,2556.12109375,39.78797701442467,38.06282434957375,,
dbrain,restormer,success,1,12,10.10519771973292,0.0489956107404497,177883,2507.5908203125,22.247106144426798,22.062148138395962,0.25805740520884773,3459.4749251301373
dbrain,restormer,success,3,12,25.514906307061512,0.049123634232415093,177883,2508.4111328125,22.42699746287937,22.640758561590264,0.24864816914134186,3457.2810297673195
dbrain,restormer,success,5,12,40.886265234152475,0.05094810260666741,177883,2508.4697265625,22.682282431486826,22.900870500602345,0.22160484234277397,3436.670692385573
dbrain,restormer,success,12,12,94.8482770204544,0.04887502988179525,177883,2509.0498046875,22.786728474296318,23.038184050497705,0.23040924495572954,3450.989198115586
dbrain,restormer,success,24,12,187.12974416414897,0.049248762263192074,177883,2508.2646484375,22.839613040856598,23.059479733185352,0.24874424152521826,3455.9260280606163
dbrain,restormer,success,48,12,372.22564427057904,0.048860835366778904,177883,2508.9677734375,22.824704566953102,23.203764008460777,0.2302783725357955,3453.795299239841
stanford,restormer,success,1,10,2.5128762499491373,0.011925036642286512,177883,2322.61669921875,26.09722550276242,25.276238284858806,,
stanford,restormer,success,3,10,7.194017601013184,0.01197001854578654,177883,2322.76318359375,26.67417509591981,25.775365570876172,,
stanford,restormer,success,5,10,11.864981815020244,0.011998231410980225,177883,2322.28466796875,26.84398087580457,25.9251349345508,,
stanford,restormer,success,12,10,28.226801994641622,0.011971927218967013,177883,2323.42236328125,26.970942394112303,26.032932754957756,,
stanford,restormer,success,24,10,56.2270116408666,0.012015210522545708,177883,2324.30126953125,27.02315525536147,26.077522813693395,,
